year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2012,F,Wholesale Trade,f_50-99,Salaries and wages paid,807,DOLLARS(millions)
2012,F,Wholesale Trade,f_50-99,"Sales, government funding, grants and subsidies",9590,DOLLARS(millions)
2012,F,Wholesale Trade,f_50-99,Total income,9693,DOLLARS(millions)
2012,F,Wholesale Trade,f_50-99,Total expenditure,9332,DOLLARS(millions)
2012,F,Wholesale Trade,f_50-99,Operating profit before tax,418,DOLLARS(millions)
2012,F,Wholesale Trade,f_50-99,Total assets,5114,DOLLARS(millions)
2012,F,Wholesale Trade,f_50-99,Fixed tangible assets,407,DOLLARS(millions)
2012,F,Wholesale Trade,g_100-199,Activity unit,63,COUNT
2012,F,Wholesale Trade,g_100-199,Rolling mean employees,8637,COUNT
2012,F,Wholesale Trade,g_100-199,Salaries and wages paid,539,DOLLARS(millions)
2012,F,Wholesale Trade,g_100-199,"Sales, government funding, grants and subsidies",7162,DOLLARS(millions)
2012,F,Wholesale Trade,g_100-199,Total income,7236,DOLLARS(millions)
2012,F,Wholesale Trade,g_100-199,Total expenditure,7030,DOLLARS(millions)
2012,F,Wholesale Trade,g_100-199,Operating profit before tax,381,DOLLARS(millions)
2012,F,Wholesale Trade,g_100-199,Total assets,3801,DOLLARS(millions)
2012,F,Wholesale Trade,g_100-199,Fixed tangible assets,320,DOLLARS(millions)
2012,F,Wholesale Trade,h_200+,Activity unit,48,COUNT
2012,F,Wholesale Trade,h_200+,Rolling mean employees,22965,COUNT
2012,F,Wholesale Trade,h_200+,Salaries and wages paid,1370,DOLLARS(millions)
2012,F,Wholesale Trade,h_200+,"Sales, government funding, grants and subsidies",24218,DOLLARS(millions)
2012,F,Wholesale Trade,h_200+,Total income,24331,DOLLARS(millions)
2012,F,Wholesale Trade,h_200+,Total expenditure,23940,DOLLARS(millions)
2012,F,Wholesale Trade,h_200+,Operating profit before tax,534,DOLLARS(millions)
2012,F,Wholesale Trade,h_200+,Total assets,8106,DOLLARS(millions)
2012,F,Wholesale Trade,h_200+,Fixed tangible assets,1107,DOLLARS(millions)
2012,F,Wholesale Trade,i_Industry_Total,Activity unit,16710,COUNT
2012,F,Wholesale Trade,i_Industry_Total,Rolling mean employees,96078,COUNT
2012,F,Wholesale Trade,i_Industry_Total,Salaries and wages paid,5925,DOLLARS(millions)
2012,F,Wholesale Trade,i_Industry_Total,"Sales, government funding, grants and subsidies",81051,DOLLARS(millions)
2012,F,Wholesale Trade,i_Industry_Total,Total income,81782,DOLLARS(millions)
2012,F,Wholesale Trade,i_Industry_Total,Total expenditure,79293,DOLLARS(millions)
2012,F,Wholesale Trade,i_Industry_Total,Operating profit before tax,3127,DOLLARS(millions)
2012,F,Wholesale Trade,i_Industry_Total,Total assets,35724,DOLLARS(millions)
2012,F,Wholesale Trade,i_Industry_Total,Fixed tangible assets,3938,DOLLARS(millions)
2012,G,Retail Trade,a_0,Activity unit,10470,COUNT
2012,G,Retail Trade,a_0,Rolling mean employees,0,COUNT
2012,G,Retail Trade,a_0,Salaries and wages paid,178,DOLLARS(millions)
2012,G,Retail Trade,a_0,"Sales, government funding, grants and subsidies",2762,DOLLARS(millions)
2012,G,Retail Trade,a_0,Total income,2776,DOLLARS(millions)
2012,G,Retail Trade,a_0,Total expenditure,2641,DOLLARS(millions)
2012,G,Retail Trade,a_0,Operating profit before tax,124,DOLLARS(millions)
2012,G,Retail Trade,a_0,Total assets,1846,DOLLARS(millions)
2012,G,Retail Trade,a_0,Fixed tangible assets,589,DOLLARS(millions)
2012,G,Retail Trade,b_1-5,Activity unit,10764,COUNT
2012,G,Retail Trade,b_1-5,Rolling mean employees,24345,COUNT
2012,G,Retail Trade,b_1-5,Salaries and wages paid,783,DOLLARS(millions)
2012,G,Retail Trade,b_1-5,"Sales, government funding, grants and subsidies",7233,DOLLARS(millions)
2012,G,Retail Trade,b_1-5,Total income,7267,DOLLARS(millions)
2012,G,Retail Trade,b_1-5,Total expenditure,7087,DOLLARS(millions)
2012,G,Retail Trade,b_1-5,Operating profit before tax,242,DOLLARS(millions)
2012,G,Retail Trade,b_1-5,Total assets,3167,DOLLARS(millions)
2012,G,Retail Trade,b_1-5,Fixed tangible assets,637,DOLLARS(millions)
2012,G,Retail Trade,c_6-9,Activity unit,1818,COUNT
2012,G,Retail Trade,c_6-9,Rolling mean employees,12948,COUNT
2012,G,Retail Trade,c_6-9,Salaries and wages paid,419,DOLLARS(millions)
2012,G,Retail Trade,c_6-9,"Sales, government funding, grants and subsidies",3065,DOLLARS(millions)
2012,G,Retail Trade,c_6-9,Total income,3075,DOLLARS(millions)
2012,G,Retail Trade,c_6-9,Total expenditure,2965,DOLLARS(millions)
2012,G,Retail Trade,c_6-9,Operating profit before tax,116,DOLLARS(millions)
2012,G,Retail Trade,c_6-9,Total assets,1008,DOLLARS(millions)
2012,G,Retail Trade,c_6-9,Fixed tangible assets,207,DOLLARS(millions)
2012,G,Retail Trade,d_10-19,Activity unit,1542,COUNT
2012,G,Retail Trade,d_10-19,Rolling mean employees,20571,COUNT
2012,G,Retail Trade,d_10-19,Salaries and wages paid,693,DOLLARS(millions)
2012,G,Retail Trade,d_10-19,"Sales, government funding, grants and subsidies",5782,DOLLARS(millions)
2012,G,Retail Trade,d_10-19,Total income,5816,DOLLARS(millions)
2012,G,Retail Trade,d_10-19,Total expenditure,5703,DOLLARS(millions)
2012,G,Retail Trade,d_10-19,Operating profit before tax,182,DOLLARS(millions)
2012,G,Retail Trade,d_10-19,Total assets,1839,DOLLARS(millions)
2012,G,Retail Trade,d_10-19,Fixed tangible assets,243,DOLLARS(millions)
2012,G,Retail Trade,e_20-49,Activity unit,552,COUNT
2012,G,Retail Trade,e_20-49,Rolling mean employees,15678,COUNT
2012,G,Retail Trade,e_20-49,Salaries and wages paid,519,DOLLARS(millions)
2012,G,Retail Trade,e_20-49,"Sales, government funding, grants and subsidies",4913,DOLLARS(millions)
2012,G,Retail Trade,e_20-49,Total income,4931,DOLLARS(millions)
2012,G,Retail Trade,e_20-49,Total expenditure,4873,DOLLARS(millions)
2012,G,Retail Trade,e_20-49,Operating profit before tax,111,DOLLARS(millions)
2012,G,Retail Trade,e_20-49,Total assets,1501,DOLLARS(millions)
2012,G,Retail Trade,e_20-49,Fixed tangible assets,312,DOLLARS(millions)
2012,G,Retail Trade,f_50-99,Activity unit,222,COUNT
2012,G,Retail Trade,f_50-99,Rolling mean employees,15732,COUNT
