year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2020,A,"Agriculture, Forestry and Fishing",h_200+,Total expenditure,1598,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,114,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",h_200+,Total assets,3757,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",h_200+,Fixed tangible assets,1750,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Activity unit,64443,COUNT
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Rolling mean employees,114642,COUNT
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Salaries and wages paid,5913,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,"Sales, government funding, grants and subsidies",44519,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total income,47266,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total expenditure,39965,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,5314,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Total assets,186120,DOLLARS(millions)
2020,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Fixed tangible assets,107169,DOLLARS(millions)
2020,B,Mining,a_0,Activity unit,405,COUNT
2020,B,Mining,a_0,Rolling mean employees,0,COUNT
2020,B,Mining,a_0,Salaries and wages paid,74,DOLLARS(millions)
2020,B,Mining,a_0,"Sales, government funding, grants and subsidies",980,DOLLARS(millions)
2020,B,Mining,a_0,Total income,1038,DOLLARS(millions)
2020,B,Mining,a_0,Total expenditure,1184,DOLLARS(millions)
2020,B,Mining,a_0,Operating profit before tax,130,DOLLARS(millions)
2020,B,Mining,a_0,Total assets,5766,DOLLARS(millions)
2020,B,Mining,a_0,Fixed tangible assets,2099,DOLLARS(millions)
2020,B,Mining,b_1-5,Activity unit,165,COUNT
2020,B,Mining,b_1-5,Rolling mean employees,360,COUNT
2020,B,Mining,b_1-5,Salaries and wages paid,35,DOLLARS(millions)
2020,B,Mining,b_1-5,"Sales, government funding, grants and subsidies",466,DOLLARS(millions)
2020,B,Mining,b_1-5,Total income,470,DOLLARS(millions)
2020,B,Mining,b_1-5,Total expenditure,403,DOLLARS(millions)
2020,B,Mining,b_1-5,Operating profit before tax,77,DOLLARS(millions)
2020,B,Mining,b_1-5,Total assets,1492,DOLLARS(millions)
2020,B,Mining,b_1-5,Fixed tangible assets,431,DOLLARS(millions)
2020,B,Mining,c_6-9,Activity unit,45,COUNT
2020,B,Mining,c_6-9,Rolling mean employees,294,COUNT
2020,B,Mining,c_6-9,Salaries and wages paid,23,DOLLARS(millions)
2020,B,Mining,c_6-9,"Sales, government funding, grants and subsidies",103,DOLLARS(millions)
2020,B,Mining,c_6-9,Total income,103,DOLLARS(millions)
2020,B,Mining,c_6-9,Total expenditure,104,DOLLARS(millions)
2020,B,Mining,c_6-9,Operating profit before tax,0,DOLLARS(millions)
2020,B,Mining,c_6-9,Total assets,188,DOLLARS(millions)
2020,B,Mining,c_6-9,Fixed tangible assets,47,DOLLARS(millions)
2020,B,Mining,d_10-19,Activity unit,27,COUNT
2020,B,Mining,d_10-19,Rolling mean employees,372,COUNT
2020,B,Mining,d_10-19,Salaries and wages paid,35,DOLLARS(millions)
2020,B,Mining,d_10-19,"Sales, government funding, grants and subsidies",186,DOLLARS(millions)
2020,B,Mining,d_10-19,Total income,187,DOLLARS(millions)
2020,B,Mining,d_10-19,Total expenditure,181,DOLLARS(millions)
2020,B,Mining,d_10-19,Operating profit before tax,11,DOLLARS(millions)
2020,B,Mining,d_10-19,Total assets,C,DOLLARS(millions)
2020,B,Mining,d_10-19,Fixed tangible assets,98,DOLLARS(millions)
2020,B,Mining,e_20-49,Activity unit,27,COUNT
2020,B,Mining,e_20-49,Rolling mean employees,831,COUNT
