year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2014,Q,Health Care and Social Assistance,g_100-199,Operating profit before tax,104,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,g_100-199,Total assets,3668,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,g_100-199,Fixed tangible assets,1286,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,h_200+,Activity unit,78,COUNT
2014,Q,Health Care and Social Assistance,h_200+,Rolling mean employees,55209,COUNT
2014,Q,Health Care and Social Assistance,h_200+,Salaries and wages paid,1872,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,h_200+,"Sales, government funding, grants and subsidies",3213,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,h_200+,Total income,3393,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,h_200+,Total expenditure,3270,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,h_200+,Operating profit before tax,102,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,h_200+,Total assets,4576,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,h_200+,Fixed tangible assets,1744,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,i_Industry_Total,Activity unit,17175,COUNT
2014,Q,Health Care and Social Assistance,i_Industry_Total,Rolling mean employees,144957,COUNT
2014,Q,Health Care and Social Assistance,i_Industry_Total,Salaries and wages paid,5659,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,i_Industry_Total,"Sales, government funding, grants and subsidies",13109,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,i_Industry_Total,Total income,13954,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,i_Industry_Total,Total expenditure,12322,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,i_Industry_Total,Operating profit before tax,1516,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,i_Industry_Total,Total assets,15222,DOLLARS(millions)
2014,Q,Health Care and Social Assistance,i_Industry_Total,Fixed tangible assets,5875,DOLLARS(millions)
2014,R,Arts and Recreation Services,a_0,Activity unit,6108,COUNT
2014,R,Arts and Recreation Services,a_0,Rolling mean employees,0,COUNT
2014,R,Arts and Recreation Services,a_0,Salaries and wages paid,124,DOLLARS(millions)
2014,R,Arts and Recreation Services,a_0,"Sales, government funding, grants and subsidies",698,DOLLARS(millions)
2014,R,Arts and Recreation Services,a_0,Total income,801,DOLLARS(millions)
2014,R,Arts and Recreation Services,a_0,Total expenditure,685,DOLLARS(millions)
2014,R,Arts and Recreation Services,a_0,Operating profit before tax,110,DOLLARS(millions)
2014,R,Arts and Recreation Services,a_0,Total assets,1524,DOLLARS(millions)
2014,R,Arts and Recreation Services,a_0,Fixed tangible assets,915,DOLLARS(millions)
2014,R,Arts and Recreation Services,b_1-5,Activity unit,2316,COUNT
