year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2018,O,Public Administration and Safety,d_10-19,"Sales, government funding, grants and subsidies",78,DOLLARS(millions)
2018,O,Public Administration and Safety,d_10-19,Total income,78,DOLLARS(millions)
2018,O,Public Administration and Safety,d_10-19,Total expenditure,72,DOLLARS(millions)
2018,O,Public Administration and Safety,d_10-19,Operating profit before tax,6,DOLLARS(millions)
2018,O,Public Administration and Safety,d_10-19,Total assets,39,DOLLARS(millions)
2018,O,Public Administration and Safety,d_10-19,Fixed tangible assets,8,DOLLARS(millions)
2018,O,Public Administration and Safety,e_20-49,Activity unit,48,COUNT
2018,O,Public Administration and Safety,e_20-49,Rolling mean employees,1560,COUNT
2018,O,Public Administration and Safety,e_20-49,Salaries and wages paid,51,DOLLARS(millions)
2018,O,Public Administration and Safety,e_20-49,"Sales, government funding, grants and subsidies",114,DOLLARS(millions)
2018,O,Public Administration and Safety,e_20-49,Total income,123,DOLLARS(millions)
2018,O,Public Administration and Safety,e_20-49,Total expenditure,109,DOLLARS(millions)
2018,O,Public Administration and Safety,e_20-49,Operating profit before tax,12,DOLLARS(millions)
2018,O,Public Administration and Safety,e_20-49,Total assets,55,DOLLARS(millions)
2018,O,Public Administration and Safety,e_20-49,Fixed tangible assets,13,DOLLARS(millions)
2018,O,Public Administration and Safety,f_50-99,Activity unit,12,COUNT
2018,O,Public Administration and Safety,f_50-99,Rolling mean employees,954,COUNT
2018,O,Public Administration and Safety,f_50-99,Salaries and wages paid,41,DOLLARS(millions)
2018,O,Public Administration and Safety,f_50-99,"Sales, government funding, grants and subsidies",68,DOLLARS(millions)
2018,O,Public Administration and Safety,f_50-99,Total income,69,DOLLARS(millions)
2018,O,Public Administration and Safety,f_50-99,Total expenditure,69,DOLLARS(millions)
2018,O,Public Administration and Safety,f_50-99,Operating profit before tax,1,DOLLARS(millions)
2018,O,Public Administration and Safety,f_50-99,Total assets,65,DOLLARS(millions)
2018,O,Public Administration and Safety,f_50-99,Fixed tangible assets,7,DOLLARS(millions)
2018,O,Public Administration and Safety,g_100-199,Activity unit,9,COUNT
2018,O,Public Administration and Safety,g_100-199,Rolling mean employees,1440,COUNT
2018,O,Public Administration and Safety,g_100-199,Salaries and wages paid,64,DOLLARS(millions)
2018,O,Public Administration and Safety,g_100-199,"Sales, government funding, grants and subsidies",155,DOLLARS(millions)
2018,O,Public Administration and Safety,g_100-199,Total income,155,DOLLARS(millions)
2018,O,Public Administration and Safety,g_100-199,Total expenditure,154,DOLLARS(millions)
2018,O,Public Administration and Safety,g_100-199,Operating profit before tax,3,DOLLARS(millions)
2018,O,Public Administration and Safety,g_100-199,Total assets,354,DOLLARS(millions)
2018,O,Public Administration and Safety,g_100-199,Fixed tangible assets,21,DOLLARS(millions)
2018,O,Public Administration and Safety,h_200+,Activity unit,12,COUNT
2018,O,Public Administration and Safety,h_200+,Rolling mean employees,9378,COUNT
2018,O,Public Administration and Safety,h_200+,Salaries and wages paid,408,DOLLARS(millions)
2018,O,Public Administration and Safety,h_200+,"Sales, government funding, grants and subsidies",693,DOLLARS(millions)
2018,O,Public Administration and Safety,h_200+,Total income,696,DOLLARS(millions)
2018,O,Public Administration and Safety,h_200+,Total expenditure,653,DOLLARS(millions)
2018,O,Public Administration and Safety,h_200+,Operating profit before tax,44,DOLLARS(millions)
2018,O,Public Administration and Safety,h_200+,Total assets,372,DOLLARS(millions)
2018,O,Public Administration and Safety,h_200+,Fixed tangible assets,80,DOLLARS(millions)
2018,O,Public Administration and Safety,i_Industry_Total,Activity unit,1041,COUNT
2018,O,Public Administration and Safety,i_Industry_Total,Rolling mean employees,15351,COUNT
2018,O,Public Administration and Safety,i_Industry_Total,Salaries and wages paid,683,DOLLARS(millions)
2018,O,Public Administration and Safety,i_Industry_Total,"Sales, government funding, grants and subsidies",1434,DOLLARS(millions)
2018,O,Public Administration and Safety,i_Industry_Total,Total income,1450,DOLLARS(millions)
2018,O,Public Administration and Safety,i_Industry_Total,Total expenditure,1358,DOLLARS(millions)
2018,O,Public Administration and Safety,i_Industry_Total,Operating profit before tax,91,DOLLARS(millions)
2018,O,Public Administration and Safety,i_Industry_Total,Total assets,1422,DOLLARS(millions)
2018,O,Public Administration and Safety,i_Industry_Total,Fixed tangible assets,174,DOLLARS(millions)
2018,P,Education and Training,a_0,Activity unit,2772,COUNT
2018,P,Education and Training,a_0,Rolling mean employees,0,COUNT
2018,P,Education and Training,a_0,Salaries and wages paid,132,DOLLARS(millions)
2018,P,Education and Training,a_0,"Sales, government funding, grants and subsidies",431,DOLLARS(millions)
2018,P,Education and Training,a_0,Total income,476,DOLLARS(millions)
2018,P,Education and Training,a_0,Total expenditure,371,DOLLARS(millions)
2018,P,Education and Training,a_0,Operating profit before tax,103,DOLLARS(millions)
2018,P,Education and Training,a_0,Total assets,601,DOLLARS(millions)
2018,P,Education and Training,a_0,Fixed tangible assets,246,DOLLARS(millions)
2018,P,Education and Training,b_1-5,Activity unit,1635,COUNT
2018,P,Education and Training,b_1-5,Rolling mean employees,4011,COUNT
2018,P,Education and Training,b_1-5,Salaries and wages paid,128,DOLLARS(millions)
2018,P,Education and Training,b_1-5,"Sales, government funding, grants and subsidies",347,DOLLARS(millions)
2018,P,Education and Training,b_1-5,Total income,389,DOLLARS(millions)
2018,P,Education and Training,b_1-5,Total expenditure,336,DOLLARS(millions)
2018,P,Education and Training,b_1-5,Operating profit before tax,55,DOLLARS(millions)
2018,P,Education and Training,b_1-5,Total assets,348,DOLLARS(millions)
2018,P,Education and Training,b_1-5,Fixed tangible assets,148,DOLLARS(millions)
2018,P,Education and Training,c_6-9,Activity unit,594,COUNT
2018,P,Education and Training,c_6-9,Rolling mean employees,4320,COUNT
2018,P,Education and Training,c_6-9,Salaries and wages paid,141,DOLLARS(millions)
2018,P,Education and Training,c_6-9,"Sales, government funding, grants and subsidies",237,DOLLARS(millions)
2018,P,Education and Training,c_6-9,Total income,266,DOLLARS(millions)
2018,P,Education and Training,c_6-9,Total expenditure,247,DOLLARS(millions)
2018,P,Education and Training,c_6-9,Operating profit before tax,20,DOLLARS(millions)
2018,P,Education and Training,c_6-9,Total assets,268,DOLLARS(millions)
2018,P,Education and Training,c_6-9,Fixed tangible assets,128,DOLLARS(millions)
2018,P,Education and Training,d_10-19,Activity unit,684,COUNT
2018,P,Education and Training,d_10-19,Rolling mean employees,9159,COUNT
2018,P,Education and Training,d_10-19,Salaries and wages paid,295,DOLLARS(millions)
2018,P,Education and Training,d_10-19,"Sales, government funding, grants and subsidies",524,DOLLARS(millions)
2018,P,Education and Training,d_10-19,Total income,578,DOLLARS(millions)
2018,P,Education and Training,d_10-19,Total expenditure,541,DOLLARS(millions)
2018,P,Education and Training,d_10-19,Operating profit before tax,40,DOLLARS(millions)
2018,P,Education and Training,d_10-19,Total assets,460,DOLLARS(millions)
2018,P,Education and Training,d_10-19,Fixed tangible assets,186,DOLLARS(millions)
2018,P,Education and Training,e_20-49,Activity unit,303,COUNT
2018,P,Education and Training,e_20-49,Rolling mean employees,8604,COUNT
2018,P,Education and Training,e_20-49,Salaries and wages paid,312,DOLLARS(millions)
2018,P,Education and Training,e_20-49,"Sales, government funding, grants and subsidies",567,DOLLARS(millions)
2018,P,Education and Training,e_20-49,Total income,626,DOLLARS(millions)
2018,P,Education and Training,e_20-49,Total expenditure,583,DOLLARS(millions)
2018,P,Education and Training,e_20-49,Operating profit before tax,57,DOLLARS(millions)
2018,P,Education and Training,e_20-49,Total assets,642,DOLLARS(millions)
2018,P,Education and Training,e_20-49,Fixed tangible assets,277,DOLLARS(millions)
2018,P,Education and Training,f_50-99,Activity unit,78,COUNT
2018,P,Education and Training,f_50-99,Rolling mean employees,5289,COUNT
2018,P,Education and Training,f_50-99,Salaries and wages paid,263,DOLLARS(millions)
2018,P,Education and Training,f_50-99,"Sales, government funding, grants and subsidies",482,DOLLARS(millions)
2018,P,Education and Training,f_50-99,Total income,534,DOLLARS(millions)
2018,P,Education and Training,f_50-99,Total expenditure,516,DOLLARS(millions)
2018,P,Education and Training,f_50-99,Operating profit before tax,5,DOLLARS(millions)
2018,P,Education and Training,f_50-99,Total assets,584,DOLLARS(millions)
2018,P,Education and Training,f_50-99,Fixed tangible assets,275,DOLLARS(millions)
