year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2016,D,"Electricity, Gas, Water and Waste Services",b_1-5,Fixed tangible assets,217,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Activity unit,66,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Rolling mean employees,498,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Salaries and wages paid,26,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,"Sales, government funding, grants and subsidies",160,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total income,161,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total expenditure,139,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Operating profit before tax,23,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Total assets,207,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",c_6-9,Fixed tangible assets,141,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Activity unit,45,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Rolling mean employees,630,COUNT
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Salaries and wages paid,31,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,"Sales, government funding, grants and subsidies",154,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total income,156,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total expenditure,126,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Operating profit before tax,31,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Total assets,401,DOLLARS(millions)
2016,D,"Electricity, Gas, Water and Waste Services",d_10-19,Fixed tangible assets,285,DOLLARS(millions)
